"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"143",30.19,-97.76,30.19,-97.77,13,499.55325173355,1299.60463402894,2,1,"2-1"
"144",30.19,-97.76,30.2,-97.77,24,1032.03853426798,1299.60463402894,2,1,"2-1"
"145",30.19,-97.76,30.2,-97.67,15,3878.94046085171,1299.60463402894,2,3,"2-3"
"146",30.19,-97.76,30.26,-97.74,10,784.850728204676,1299.60463402894,3,2,"3-2"
"147",30.19,-97.76,30.27,-97.75,18,277.629227185794,1299.60463402894,3,1,"3-1"
"148",30.19,-97.76,30.27,-97.74,45,670.185417296239,1299.60463402894,3,2,"3-2"
"149",30.19,-97.75,30.19,-97.77,10,499.55325173355,530.682826563875,2,1,"2-1"
"150",30.19,-97.75,30.24,-97.73,12,848.513132666472,530.682826563875,3,2,"3-2"
"151",30.19,-97.75,30.27,-97.74,23,670.185417296239,530.682826563875,3,2,"3-2"
"152",30.19,-97.74,30.2,-97.67,15,3878.94046085171,1338.93229492025,2,3,"2-3"
"153",30.19,-97.74,30.24,-97.73,13,848.513132666472,1338.93229492025,3,2,"3-2"
"154",30.19,-97.74,30.26,-97.74,10,784.850728204676,1338.93229492025,3,2,"3-2"
"155",30.19,-97.74,30.27,-97.75,17,277.629227185794,1338.93229492025,3,1,"3-1"
"156",30.19,-97.74,30.27,-97.74,22,670.185417296239,1338.93229492025,3,2,"3-2"
"157",30.19,-97.73,30.22,-97.7,10,1237.594085994,935.985342195399,2,2,"2-2"
"158",30.19,-97.73,30.27,-97.75,11,277.629227185794,935.985342195399,3,1,"3-1"
"159",30.19,-97.73,30.27,-97.74,12,670.185417296239,935.985342195399,3,2,"3-2"
"160",30.19,-97.66,30.2,-97.67,19,3878.94046085171,5553.83727720228,2,3,"2-3"
"161",30.2,-97.79,30.19,-97.78,10,809.106599196678,798.53842944541,2,1,"2-1"
"162",30.2,-97.79,30.2,-97.79,20,798.53842944541,798.53842944541,2,1,"2-1"
"163",30.2,-97.79,30.2,-97.78,10,1243.50822464436,798.53842944541,2,1,"2-1"
"164",30.2,-97.79,30.2,-97.77,12,1032.03853426798,798.53842944541,2,1,"2-1"
"165",30.2,-97.79,30.2,-97.67,14,3878.94046085171,798.53842944541,2,3,"2-3"
"166",30.2,-97.79,30.23,-97.76,28,160.342237960925,798.53842944541,2,1,"2-1"
"167",30.2,-97.79,30.23,-97.74,14,650.234213785827,798.53842944541,2,2,"2-2"
"168",30.2,-97.79,30.24,-97.76,40,461.129586601633,798.53842944541,3,1,"3-1"
"169",30.2,-97.79,30.24,-97.75,44,938.514858461475,798.53842944541,3,1,"3-1"
"170",30.2,-97.79,30.25,-97.75,16,605.199680404157,798.53842944541,3,1,"3-1"
"171",30.2,-97.79,30.26,-97.76,12,460.45099339508,798.53842944541,3,1,"3-1"
"172",30.2,-97.79,30.27,-97.75,64,277.629227185794,798.53842944541,3,1,"3-1"
"173",30.2,-97.79,30.27,-97.74,60,670.185417296239,798.53842944541,3,2,"3-2"
"174",30.2,-97.78,30.2,-97.78,17,1243.50822464436,1243.50822464436,2,1,"2-1"
"175",30.2,-97.78,30.2,-97.67,24,3878.94046085171,1243.50822464436,2,3,"2-3"
"176",30.2,-97.78,30.23,-97.76,13,160.342237960925,1243.50822464436,2,1,"2-1"
"177",30.2,-97.78,30.24,-97.73,10,848.513132666472,1243.50822464436,3,2,"3-2"
"178",30.2,-97.78,30.26,-97.76,32,460.45099339508,1243.50822464436,3,1,"3-1"
"179",30.2,-97.78,30.26,-97.74,18,784.850728204676,1243.50822464436,3,2,"3-2"
"180",30.2,-97.78,30.26,-97.73,12,450.62176487427,1243.50822464436,3,2,"3-2"
"181",30.2,-97.78,30.27,-97.75,50,277.629227185794,1243.50822464436,3,1,"3-1"
"182",30.2,-97.78,30.27,-97.74,79,670.185417296239,1243.50822464436,3,2,"3-2"
"183",30.2,-97.78,30.28,-97.74,12,485.70707727731,1243.50822464436,3,2,"3-2"
"184",30.2,-97.78,30.3,-97.74,12,152.746366151154,1243.50822464436,3,2,"3-2"
"185",30.2,-97.77,30.16,-97.79,17,1631.18904507838,1032.03853426798,2,1,"2-1"
"186",30.2,-97.77,30.17,-97.63,36,2012.25458920285,1032.03853426798,2,3,"2-3"
"187",30.2,-97.77,30.19,-97.77,23,499.55325173355,1032.03853426798,2,1,"2-1"
"188",30.2,-97.77,30.2,-97.79,15,798.53842944541,1032.03853426798,2,1,"2-1"
"189",30.2,-97.77,30.2,-97.77,75,1032.03853426798,1032.03853426798,2,1,"2-1"
"190",30.2,-97.77,30.2,-97.76,37,1362.21905028859,1032.03853426798,2,1,"2-1"
"191",30.2,-97.77,30.2,-97.67,94,3878.94046085171,1032.03853426798,2,3,"2-3"
"192",30.2,-97.77,30.21,-97.79,12,866.868795290751,1032.03853426798,2,1,"2-1"
"193",30.2,-97.77,30.21,-97.78,14,482.131255053648,1032.03853426798,2,1,"2-1"
"194",30.2,-97.77,30.21,-97.76,29,2949.87314894138,1032.03853426798,2,1,"2-1"
"195",30.2,-97.77,30.21,-97.75,49,632.941578237148,1032.03853426798,2,1,"2-1"
"196",30.2,-97.77,30.22,-97.77,15,1046.42903036354,1032.03853426798,2,1,"2-1"
"197",30.2,-97.77,30.22,-97.75,17,1472.79105153058,1032.03853426798,2,1,"2-1"
"198",30.2,-97.77,30.23,-97.78,13,629.927423118013,1032.03853426798,2,1,"2-1"
"199",30.2,-97.77,30.23,-97.77,21,832.411191452054,1032.03853426798,2,1,"2-1"
"200",30.2,-97.77,30.23,-97.76,130,160.342237960925,1032.03853426798,2,1,"2-1"
"201",30.2,-97.77,30.23,-97.75,32,1759.39969598086,1032.03853426798,2,1,"2-1"
"202",30.2,-97.77,30.23,-97.74,10,650.234213785827,1032.03853426798,2,2,"2-2"
"203",30.2,-97.77,30.23,-97.73,18,532.257369928909,1032.03853426798,2,2,"2-2"
"204",30.2,-97.77,30.23,-97.72,11,529.768493036874,1032.03853426798,2,2,"2-2"
"205",30.2,-97.77,30.24,-97.79,21,605.118142240434,1032.03853426798,3,1,"3-1"
"206",30.2,-97.77,30.24,-97.78,11,838.124467324186,1032.03853426798,3,1,"3-1"
"207",30.2,-97.77,30.24,-97.76,16,461.129586601633,1032.03853426798,3,1,"3-1"
"208",30.2,-97.77,30.24,-97.75,22,938.514858461475,1032.03853426798,3,1,"3-1"
"209",30.2,-97.77,30.24,-97.74,27,2313.52018185598,1032.03853426798,3,2,"3-2"
"210",30.2,-97.77,30.24,-97.73,16,848.513132666472,1032.03853426798,3,2,"3-2"
"211",30.2,-97.77,30.24,-97.72,31,517.642578627015,1032.03853426798,3,2,"3-2"
"212",30.2,-97.77,30.25,-97.78,14,1398.27222075567,1032.03853426798,3,1,"3-1"
"213",30.2,-97.77,30.25,-97.77,33,781.800677181647,1032.03853426798,3,1,"3-1"
"214",30.2,-97.77,30.25,-97.76,10,463.065294721964,1032.03853426798,3,1,"3-1"
"215",30.2,-97.77,30.25,-97.75,47,605.199680404157,1032.03853426798,3,1,"3-1"
"216",30.2,-97.77,30.26,-97.79,11,755.733590224497,1032.03853426798,3,1,"3-1"
"217",30.2,-97.77,30.26,-97.76,83,460.45099339508,1032.03853426798,3,1,"3-1"
"218",30.2,-97.77,30.26,-97.75,53,309.441545205615,1032.03853426798,3,1,"3-1"
"219",30.2,-97.77,30.26,-97.74,173,784.850728204676,1032.03853426798,3,2,"3-2"
"220",30.2,-97.77,30.26,-97.73,34,450.62176487427,1032.03853426798,3,2,"3-2"
