veh_lat_rnd,veh_long_rnd,rides_on,rides_off,raw_on,raw_off
30.48,-97.74,0,0,0,0
30.49,-100.35,1,0,1,0
30.49,-100.01,1,1,1,1
30.49,-97.81,0,0,0,0
30.5,-97.97,0,4,0,4
30.5,-97.81,33,5,33,5
30.5,-97.8,1,1,1,1
30.5,-97.68,7,2,7,2
30.51,-99.78,1,1,1,1
30.51,-97.82,1,1,1,1
30.51,-97.81,73,13,73,13
30.52,-97.82,4,2,4,2
30.52,-97.81,53,6,53,6
30.52,-97.69,0,4,0,4
30.53,-97.83,0,0,0,0
30.53,-97.82,0,0,0,0
30.53,-97.69,4,4,4,4
30.54,-97.97,0,0,0,0
30.54,-97.82,9,8,9,8
30.54,-97.69,1,3,1,3
30.55,-97.97,0,3,0,3
30.55,-97.84,0,0,0,0
30.55,-97.82,4,3,4,3
30.56,-97.84,0,0,0,0
30.56,-97.82,2,70,2,70
30.57,-97.85,0,0,0,0
30.57,-97.83,4,45,4,45
30.57,-97.69,2,2,2,2
30.58,-100.65,1,1,1,1
30.58,-97.86,0,0,0,0
30.58,-97.85,26,31,26,31
30.58,-97.84,1,58,1,58
30.58,-97.83,14,10,14,10
30.59,-97.86,32555,31016,32555,31016
30.59,-97.85,126,125,126,125
30.59,-97.84,2,2,2,2
30.6,-97.85,8,9,8,9
30.61,-100.75,1,3,1,3
30.61,-97.21,3,3,3,3
30.62,-100.79,1,0,1,0
30.62,-100.75,3,0,3,0
30.64,-97.69,0,0,0,0
30.65,-97.02,3,3,3,3
30.69,-101.27,0,0,0,0
30.7,-101.09,5,5,5,5
30.71,-97.65,0,0,0,0
30.84,-97.6,2,2,2,2
30.86,-102.59,1,1,1,1
30.86,-102.55,6,0,6,0
30.86,-98.82,3,3,3,3
30.87,-97.58,1,1,1,1
30.88,-96.6,3,3,3,3
30.88,-96.59,1,1,1,1
30.89,-102.85,3,2,3,2
30.89,-102.28,0,0,0,0
30.89,-97.93,0,0,0,0
30.89,-96.62,56,61,56,61
30.9,-102.91,1,1,1,1
30.9,-102.85,0,0,0,0
30.9,-97.56,1,1,1,1
30.9,-96.6,7,7,7,7
30.91,-102.89,1,2,1,2
30.91,-97.55,1,1,1,1
30.92,-97.5,2,2,2,2
30.93,-97.54,2,3,2,3
30.93,-97.5,6,5,6,5
30.94,-103.36,0,0,0,0
30.94,-103.31,1,1,1,1
30.94,-98.03,0,1,0,1
30.94,-97.54,0,0,0,0
